IGHD,IGHV,proportion
IGHD1,IGHV1,0.00143595634692705
IGHD2,IGHV1,0.00674899483055715
IGHD3,IGHV1,0.00904652498564044
IGHD4,IGHV1,0.00157955198161976
IGHD5,IGHV1,0.0025847214244687
IGHD6,IGHV1,0.00244112578977599
IGHD7,IGHV1,0.000574382538770821
IGHD1,IGHV2,0.00100516944284894
IGHD2,IGHV2,0.00143595634692705
IGHD3,IGHV2,0.00172314761631246
IGHD4,IGHV2,0.000574382538770821
IGHD5,IGHV2,0.00100516944284894
IGHD6,IGHV2,0.00114876507754164
IGHD7,IGHV2,0
IGHD1,IGHV3,0.0169442848937392
IGHD2,IGHV3,0.0377656519241815
IGHD3,IGHV3,0.0476737507179782
IGHD4,IGHV3,0.00976450315910396
IGHD5,IGHV3,0.0127800114876508
IGHD6,IGHV3,0.018523836875359
IGHD7,IGHV3,0.000574382538770821
IGHD1,IGHV4,0.00631820792647904
IGHD2,IGHV4,0.0132107983917289
IGHD3,IGHV4,0.0235496840896037
IGHD4,IGHV4,0.00516944284893739
IGHD5,IGHV4,0.00502584721424469
IGHD6,IGHV4,0.0101952900631821
IGHD7,IGHV4,0
IGHD1,IGHV5,0.000861573808156232
IGHD2,IGHV5,0.00186674325100517
IGHD3,IGHV5,0.00373348650201034
IGHD4,IGHV5,0.000717978173463527
IGHD5,IGHV5,0.00100516944284894
IGHD6,IGHV5,0.000861573808156232
IGHD7,IGHV5,0.000287191269385411
IGHD1,IGHV6,0
IGHD2,IGHV6,0.000287191269385411
IGHD3,IGHV6,0.000717978173463527
IGHD4,IGHV6,0.000143595634692705
IGHD5,IGHV6,0
IGHD6,IGHV6,0
IGHD7,IGHV6,0
IGHD1,IGHV7,0
IGHD2,IGHV7,0
IGHD3,IGHV7,0.000287191269385411
IGHD4,IGHV7,0
IGHD5,IGHV7,0
IGHD6,IGHV7,0.000430786904078116
IGHD7,IGHV7,0
