"IGHD","IGHV","proportion"
"IGHD1","IGHV1",0.00149068753629217
"IGHD2","IGHV1",0.00377871956874063
"IGHD3","IGHV1",0.00547741001707357
"IGHD4","IGHV1",0.00120468353223612
"IGHD5","IGHV1",0.00149068753629217
"IGHD6","IGHV1",0.00235736633646204
"IGHD7","IGHV1",0.0000260003640050961
"IGHD1","IGHV2",0.00052867406810362
"IGHD2","IGHV2",0.00108334850021234
"IGHD3","IGHV2",0.00188069299636862
"IGHD4","IGHV2",0.000346671520067948
"IGHD5","IGHV2",0.000520007280101921
"IGHD6","IGHV2",0.000788677708154581
"IGHD7","IGHV2",0
"IGHD1","IGHV3",0.00679476179333177
"IGHD2","IGHV3",0.0157995545270967
"IGHD3","IGHV3",0.0219443072203011
"IGHD4","IGHV3",0.00514807207300902
"IGHD5","IGHV3",0.00653475815328081
"IGHD6","IGHV3",0.0102181430540028
"IGHD7","IGHV3",0.000407339036079838
"IGHD1","IGHV4",0.00194136051238051
"IGHD2","IGHV4",0.00505273740499034
"IGHD3","IGHV4",0.00843278472565283
"IGHD4","IGHV4",0.00171602402433634
"IGHD5","IGHV4",0.0019586940883839
"IGHD6","IGHV4",0.00340604768466759
"IGHD7","IGHV4",0.0000520007280101921
"IGHD1","IGHV5",0.000719343404140991
"IGHD2","IGHV5",0.00155135505230407
"IGHD3","IGHV5",0.00208002912040769
"IGHD4","IGHV5",0.00032933794406455
"IGHD5","IGHV5",0.000650009100127402
"IGHD6","IGHV5",0.000901345952176664
"IGHD7","IGHV5",0.00000866678800169869
"IGHD1","IGHV6",0.0000693343040135895
"IGHD2","IGHV6",0.0000953346680186856
"IGHD3","IGHV6",0.000303337580059454
"IGHD4","IGHV6",0.0000260003640050961
"IGHD5","IGHV6",0.0000606675160118908
"IGHD6","IGHV6",0.000147335396028878
"IGHD7","IGHV6",0.00000866678800169869
"IGHD1","IGHV7",0.0000606675160118908
"IGHD2","IGHV7",0.000225336488044166
"IGHD3","IGHV7",0.000190669336037371
"IGHD4","IGHV7",0.0000520007280101921
"IGHD5","IGHV7",0.0000260003640050961
"IGHD6","IGHV7",0.0000693343040135895
"IGHD7","IGHV7",0
